order,season,episode,character_killed,killer,method,method_cat,location,importance
1,1,1,Waymar Royce,White Walker,Ice sword,Blade,Beyond the Wall,2.0
2,1,1,Gared,White Walker,Ice sword,Blade,Beyond the Wall,2.0
3,1,1,Will,Ned Stark,Sword (Ice),Blade,Winterfell,2.0
4,1,1,Stag,Direwolf,Direwolf teeth,Animal,Winterfell,1.0
5,1,1,Direwolf,Stag,Antler,Animal,Winterfell,1.0
6,1,1,Jon Arryn,Lysa Arryn,Poison,Poison,King’s Landing,2.0
7,1,1,Dothraki man,Dothraki man,Arakh,Blade,Pentos,1.0
8,1,2,Catspaw assassin,Summer,Direwolf teeth,Animal,Winterfell,1.0
9,1,2,Mycah,Sandor “the Hound” Clegane,Unknown (likely a sword),Unknown,Kingsroad,3.0
10,1,2,Lady,Ned Stark,Knife,Blade,Kingsroad,3.0
11,1,4,Ser Hugh of the Vale,Gregor “the Mountain” Clegane,Spear,Polearm,King’s Landing,2.0
12,1,5,Clegane’s horse,Gregor “the Mountain” Clegane,Sword,Blade,King’s Landing,1.0
13,1,5,Stark soldier,Tribesman,Bolo,Other,Eastern Road,1.0
14,1,5,Tribesman,Bronn,Sword,Blade,Eastern Road,1.0
15,1,5,Tribesman,Bronn,Sword,Blade,Eastern Road,1.0
16,1,5,Tribesman,Bronn,Sword,Blade,Eastern Road,1.0
17,1,5,Stark soldier,Tribesman,Mace,Mace,Eastern Road,1.0
18,1,5,Tribesman,Tyrion Lannister,Shield,Other,Eastern Road,1.0
19,1,5,Tribesman,Rodrik Cassel,Sword,Blade,Eastern Road,1.0
20,1,5,Tribesman,Rodrik Cassel,Sword,Blade,Eastern Road,1.0
21,1,5,Tribesman,Bronn,Knife,Blade,Eastern Road,1.0
22,1,5,Stark soldier,Lannister soldier,Spear,Polearm,King’s Landing,1.0
23,1,5,Stark soldier,Lannister soldier,Spear,Polearm,King’s Landing,1.0
24,1,5,Lannister soldier,Jory Cassel,Sword,Blade,King’s Landing,1.0
25,1,5,Lannister soldier,Ned Stark,Sword,Blade,King’s Landing,1.0
26,1,5,Lannister soldier,Jory Cassel,Sword,Blade,King’s Landing,1.0
27,1,5,Lannister soldier,Jory Cassel,Sword,Blade,King’s Landing,1.0
28,1,5,Jory Cassel,Jaime Lannister,Knife,Blade,King’s Landing,3.0
29,1,6,Wallen,Robb Stark,Sword,Blade,Winterfell,2.0
30,1,6,Wildling,Robb Stark,Sword,Blade,Winterfell,1.0
31,1,6,Stiv,Theon Greyjoy,Arrow,Arrow,Winterfell,2.0
32,1,6,Vardis Egen,Bronn,Sword,Blade,The Eyrie,2.0
33,1,6,Viserys Targaryen,Khal Drogo,Molten gold,Fire/Burning,Vaes Dothrak,4.0
34,1,7,Robert Baratheon,Boar,Tusk,Animal,King’s Landing,4.0
35,1,7,Stark soldier,City watch guard,Sword,Blade,King’s Landing,1.0
36,1,7,Stark soldier,City watch guard,Sword,Blade,King’s Landing,1.0
37,1,7,Stark soldier,City watch guard,Sword,Blade,King’s Landing,1.0
38,1,7,Stark soldier,Sandor “the Hound” Clegane,Sword,Blade,King’s Landing,1.0
39,1,8,Stark soldier,Lannister soldier,Sword,Blade,King’s Landing,1.0
40,1,8,Stark soldier,Lannister soldier,Sword,Blade,King’s Landing,1.0
41,1,8,Vayon Poole,Lannister soldier,Sword,Blade,King’s Landing,2.0
42,1,8,Stark staff member,Lannister soldier,Sword,Blade,King’s Landing,1.0
43,1,8,Stark staff member,Lannister soldier,Sword,Blade,King’s Landing,1.0
44,1,8,Septa Mordane,Lannister soldier,Sword,Blade,King’s Landing,3.0
45,1,8,Syrio Forel,Meryn Trant,Sword,Blade,King’s Landing,3.0
46,1,8,Stableboy,Arya Stark,Sword (Needle),Blade,King’s Landing,1.0
47,1,8,Othor,Jon Snow,Fire,Fire/Burning,Castle Black,1.0
48,1,8,Jafer Flowers,Night’s Watch brother,Fire,Fire/Burning,Castle Black,1.0
49,1,8,Mago,Khal Drogo,Hands,Hands,Lhazar,2.0
50,1,9,Raven,Theon Greyjoy,Arrow,Arrow,The Twins,1.0
51,1,9,Drogo’s horse,Mirri Maz Duur,Knife,Blade,Red Waste,1.0
52,1,9,Qotho,Jorah Mormont,Sword,Blade,Red Waste,2.0
53,1,9,Stark soldier,Hill tribesman,Hammer,Bludgeon,Unknown,1.0
54,1,9,Stark soldier,Hill tribesman,Sword,Blade,Unknown,1.0
55,1,9,Pigeon,Arya Stark,Hands,Hands,King’s Landing,1.0
56,1,9,Ned Stark,Ilyn Payne,Sword (Ice),Blade,King’s Landing,4.0
57,1,10,Rhaego,Mirri Maz Duur,Magic,Magic,Red Waste,2.0
58,1,10,Khal Drogo,Daenerys Targaryen,Pillow,Household item,Red Waste,4.0
59,1,10,Mirri Maz Duur,Daenerys Targaryen,Fire,Fire/Burning,Red Waste,3.0
60,2,1,Knight,Sandor “the Hound” Clegane,Mace,Mace,King’s Landing,1.0
61,2,1,The Silver,,Starvation,Other,Red Waste,2.0
62,2,1,Maester Cressen,Melisandre “the Red Woman” of Asshai,Poison (magic?),Poison,Dragonstone,2.0
63,2,1,Barra (Baratheon illegitimate daughter),Janos Slynt,Knife,Blade,King’s Landing,2.0
64,2,1,Robert Baratheon’s illegitimate son,City watch guard,Knife,Blade,King’s Landing,1.0
65,2,1,Robert Baratheon’s illegitimate son,City watch guard,Water (drowning),Other,King’s Landing,1.0
66,2,1,Robert Baratheon’s illegitimate son,City watch guard,Unknown,Unknown,King’s Landing,1.0
67,2,2,Rakharo,Unknown (possible rival Dothraki men),Unknown,Unknown,Red Waste,3.0
68,2,3,Lannister soldier,Yoren,Sword,Blade,Riverlands,1.0
69,2,3,Lannister soldier,Yoren,Sword,Blade,Riverlands,1.0
70,2,3,Lannister soldier,Yoren,Sword,Blade,Riverlands,1.0
71,2,3,Lannister soldier,Yoren,Sword,Blade,Riverlands,1.0
72,2,3,Lannister soldier,Yoren,Sword,Blade,Riverlands,1.0
73,2,3,Yoren,Amory Lorch,Sword,Blade,Riverlands,3.0
