episode,method_cat
1,Blade
1,Blade
1,Blade
1,Animal
1,Animal
1,Poison
1,Blade
2,Animal
2,Unknown
2,Blade
4,Polearm
5,Blade
5,Other
5,Blade
5,Blade
5,Blade
5,Mace
5,Other
5,Blade
5,Blade
5,Blade
5,Polearm
5,Polearm
5,Blade
5,Blade
5,Blade
5,Blade
5,Blade
6,Blade
6,Blade
6,Arrow
6,Blade
6,Fire/Burning
7,Animal
7,Blade
7,Blade
7,Blade
7,Blade
8,Blade
8,Blade
8,Blade
8,Blade
8,Blade
8,Blade
8,Blade
8,Blade
8,Fire/Burning
8,Fire/Burning
8,Hands
9,Arrow
9,Blade
9,Blade
9,Bludgeon
9,Blade
9,Hands
9,Blade
10,Magic
10,Household item
10,Fire/Burning
1,Mace
1,Other
1,Poison
1,Blade
1,Blade
1,Other
1,Unknown
2,Unknown
3,Blade
3,Blade
3,Blade
3,Blade
3,Blade
3,Blade
3,Polearm
3,Blade
4,Animal
4,Animal
4,Animal
5,Magic
5,Blade
5,Blade
5,Unknown
6,Blade
6,Arrow
6,Blade
6,Hands
6,Blade
6,Blade
6,Blade
6,Blade
6,Blade
6,Poison
6,Blade
6,Unknown
7,Hands
7,Hands
7,Blade
7,Blade
7,Blade
7,Blade
7,Blade
7,Blade
7,Blade
7,Blade
7,Blade
7,Blade
7,Blade
7,Fire/Burning
7,Fire/Burning
9,Fire/Burning
9,Fire/Burning
9,Fire/Burning
9,Fire/Burning
9,Fire/Burning
9,Fire/Burning
9,Fire/Burning
9,Fire/Burning
9,Fire/Burning
9,Fire/Burning
9,Fire/Burning
9,Bludgeon
9,Fire/Burning
9,Fire/Burning
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Crushing
9,Arrow
9,Arrow
9,Axe
9,Axe
9,Axe
9,Blade
9,Blade
9,Blade
9,Blade
9,Axe
9,Hands
9,Arrow
9,Blade
9,Fire/Burning
9,Blade
9,Blade
9,Crushing
9,Crushing
9,Arrow
9,Arrow
9,Axe
9,Blade
9,Unknown
9,Blade
9,Blade
9,Bludgeon
9,Blade
9,Polearm
9,Blade
9,Unknown
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Arrow
9,Arrow
10,Blade
10,Blade
10,Blade
10,Blade
10,Animal
10,Blade
10,Other
10,Other
1,Fire/Burning
1,Blade
2,Other
3,Arrow
3,Arrow
3,Arrow
3,Arrow
4,Other
4,Blade
4,Blade
4,Polearm
4,Polearm
4,Animal
4,Polearm
4,Polearm
4,Polearm
4,Polearm
5,Blade
5,Blade
5,Unknown
5,Blade
5,Blade
6,Falling
6,Falling
6,Falling
6,Falling
6,Falling
6,Falling
6,Arrow
8,Fire/Burning
8,Fire/Burning
8,Fire/Burning
8,Unknown
8,Unknown
8,Blade
9,Arrow
9,Blade
9,Animal
9,Animal
9,Blade
9,Blade
9,Blade
9,Polearm
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Polearm
9,Blade
9,Blade
9,Blade
9,Blade
9,Arrow
9,Blade
9,Arrow
9,Arrow
9,Blade
9,Arrow
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Arrow
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
10,Blade
10,Other
10,Blade
10,Blade
10,Blade
10,Blade
10,Blade
1,Blade
1,Blade
1,Blade
1,Blade
1,Blade
2,Animal
2,Fire/Burning
2,Fire/Burning
2,Fire/Burning
2,Animal
2,Poison
3,Arrow
3,Arrow
3,Axe
3,Unknown
3,Blade
3,Blade
3,Blade
3,Blade
3,Blade
3,Blade
3,Blade
4,Unknown
5,Blade
5,Blade
5,Blade
5,Axe
5,Blade
5,Blade
5,Blade
5,Blade
5,Blade
5,Blade
5,Hands
5,Blade
5,Blade
5,Blade
5,Blade
5,Animal
6,Axe
6,Blade
6,Blade
6,Blade
6,Axe
6,Axe
6,Animal
7,Blade
7,Blade
7,Blade
7,Blade
7,Hands
7,Blade
7,Falling
8,Blade
8,Blade
8,Polearm
8,Polearm
8,Axe
8,Axe
8,Blade
8,Blade
8,Polearm
8,Blade
8,Axe
8,Hands
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Blade
9,Blade
9,Blade
9,Axe
9,Axe
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Axe
9,Household item
9,Arrow
9,Blade
9,Axe
9,Axe
9,Axe
9,Arrow
9,Arrow
9,Arrow
9,Axe
9,Household item
9,Blade
9,Axe
9,Arrow
9,Arrow
9,Crushing
9,Crushing
9,Crushing
9,Crushing
9,Crushing
9,Crushing
9,Crushing
9,Blade
9,Axe
9,Arrow
9,Fire/Burning
9,Fire/Burning
9,Fire/Burning
9,Fire/Burning
9,Fire/Burning
9,Fire/Burning
9,Fire/Burning
9,Animal
9,Arrow
9,Fire/Burning
9,Arrow
9,Unknown
9,Unknown
9,Blade
9,Blade
9,Blade
9,Axe
9,Blade
9,Blade
9,Blade
9,Animal
9,Blade
9,Blade
9,Blade
9,Axe
9,Blade
9,Bludgeon
9,Arrow
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
10,Polearm
10,Axe
10,Polearm
10,Arrow
10,Polearm
10,Polearm
10,Blade
10,Blade
10,Blade
10,Blade
10,Blade
10,Blade
10,Blade
10,Blade
10,Animal
10,Animal
10,Hands
10,Hands
10,Bludgeon
10,Axe
10,Axe
10,Magic
10,Magic
10,Blade
10,Magic
10,Magic
10,Magic
10,Magic
10,Hands
10,Arrow
1,Blade
1,Arrow
2,Blade
2,Blade
2,Blade
2,Unknown
2,Blade
2,Household item
2,Blade
3,Poison
3,Blade
3,Blade
4,Blade
4,Blade
4,Blade
4,Blade
4,Blade
4,Polearm
4,Blade
4,Blade
4,Blade
4,Blade
4,Polearm
4,Polearm
4,Blade
4,Other
4,Polearm
4,Blade
4,Polearm
4,Blade
4,Blade
4,Polearm
4,Blade
4,Blade
4,Polearm
4,Hands
4,Blade
4,Blade
4,Blade
4,Blade
4,Blade
4,Polearm
4,Polearm
4,Blade
4,Blade
4,Blade
4,Blade
4,Blade
4,Blade
4,Blade
4,Blade
4,Polearm
4,Blade
4,Blade
4,Blade
4,Blade
4,Blade
4,Blade
4,Blade
4,Polearm
4,Blade
5,Animal
5,Blade
6,Poison
7,Other
7,Other
7,Blade
7,Mace
7,Bludgeon
8,Blade
8,Bludgeon
8,Arrow
8,Arrow
8,Arrow
8,Arrow
8,Arrow
8,Arrow
8,Arrow
8,Crushing
8,Arrow
8,Arrow
8,Hands
8,Blade
8,Hands
8,Axe
8,Blade
8,Blade
8,Hands
8,Hands
8,Falling
8,Axe
8,Blade
8,Blade
8,Blade
8,Blade
8,Blade
8,Blade
8,Blade
8,Axe
8,Blade
8,Blade
8,Blade
8,Axe
8,Blade
8,Arrow
8,Arrow
8,Blade
8,Hands
8,Blade
8,Blade
8,Crushing
8,Crushing
8,Hands
8,Hands
8,Crushing
8,Crushing
8,Polearm
8,Blade
8,Blade
8,Blade
8,Blade
8,Axe
8,Axe
8,Axe
8,Axe
8,Axe
8,Axe
8,Hands
8,Blade
8,Blade
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Bludgeon
8,Blade
8,Hands
8,Blade
8,Hands
8,Blade
8,Blade
8,Blade
8,Blade
8,Blade
8,Axe
8,Axe
8,Axe
8,Blade
8,Blade
8,Axe
8,Axe
8,Axe
8,Blade
8,Blade
9,Fire/Burning
9,Blade
9,Poison
9,Fire/Burning
9,Blade
9,Blade
9,Blade
9,Polearm
9,Polearm
9,Blade
9,Polearm
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Polearm
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Polearm
9,Blade
9,Blade
9,Blade
9,Polearm
9,Blade
9,Polearm
9,Polearm
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Polearm
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Blade
9,Blade
9,Blade
9,Blade
10,Other
10,Blade
10,Blade
10,Blade
10,Blade
10,Blade
10,Blade
10,Falling
10,Blade
10,Poison
10,Poison
10,Blade
1,Blade
1,Blade
1,Blade
1,Blade
1,Blade
1,Blade
1,Blade
1,Blade
1,Polearm
2,Blade
2,Crushing
2,Crushing
2,Blade
2,Animal
2,Animal
2,Falling
3,Blade
3,Blade
3,Blade
3,Blade
3,Blade
3,Blade
3,Unknown
3,Other
3,Other
3,Other
3,Other
4,Hands
4,Blade
4,Blade
4,Fire/Burning
4,Fire/Burning
4,Fire/Burning
4,Fire/Burning
4,Fire/Burning
4,Fire/Burning
4,Fire/Burning
4,Fire/Burning
4,Fire/Burning
4,Fire/Burning
4,Fire/Burning
4,Fire/Burning
4,Fire/Burning
4,Fire/Burning
4,Fire/Burning
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Blade
5,Animal
5,Blade
5,Arrow
5,Axe
5,Arrow
5,Arrow
5,Arrow
5,Hands
5,Blade
5,Blade
5,Polearm
5,Arrow
5,Blade
5,Polearm
5,Blade
5,Blade
5,Blade
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Magic
5,Hands
6,Blade
6,Crushing
6,Crushing
6,Fire/Burning
6,Fire/Burning
6,Crushing
6,Blade
6,Blade
6,Fire/Burning
7,Other
8,Axe
8,Axe
8,Axe
8,Axe
8,Hands
8,Unknown
8,Other
8,Other
8,Other
8,Blade
8,Blade
9,Other
9,Other
9,Other
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Blade
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Animal
9,Blade
9,Blade
9,Arrow
9,Arrow
9,Crushing
9,Crushing
9,Crushing
9,Polearm
9,Polearm
9,Crushing
9,Crushing
9,Polearm
9,Crushing
9,Crushing
9,Polearm
9,Crushing
9,Crushing
9,Crushing
9,Crushing
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
9,Arrow
