Unnamed: 0,No.overall,No. inseason,Title,Directed by,Written by,U.S. viewers(millions),Season
0,1,1,"""Winter Is Coming""",Tim Van Patten,David Benioff & D. B. Weiss,2.22,1
1,2,2,"""The Kingsroad""",Tim Van Patten,David Benioff & D. B. Weiss,2.2,1
2,3,3,"""Lord Snow""",Brian Kirk,David Benioff & D. B. Weiss,2.44,1
3,4,4,"""Cripples, Bastards, and Broken Things""",Brian Kirk,Bryan Cogman,2.45,1
4,5,5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,2.58,1
5,6,6,"""A Golden Crown""",Daniel Minahan,Story by : David Benioff & D. B. WeissTeleplay by : Jane Espenson and David Benioff & D. B. Weiss,2.44,1
6,7,7,"""You Win or You Die""",Daniel Minahan,David Benioff & D. B. Weiss,2.4,1
7,8,8,"""The Pointy End""",Daniel Minahan,George R. R. Martin,2.72,1
8,9,9,"""Baelor""",Alan Taylor,David Benioff & D. B. Weiss,2.66,1
9,10,10,"""Fire and Blood""",Alan Taylor,David Benioff & D. B. Weiss,3.04,1
10,11,1,"""The North Remembers""",Alan Taylor,David Benioff & D. B. Weiss,3.86,2
11,12,2,"""The Night Lands""",Alan Taylor,David Benioff & D. B. Weiss,3.76,2
12,13,3,"""What Is Dead May Never Die""",Alik Sakharov,Bryan Cogman,3.77,2
13,14,4,"""Garden of Bones""",David Petrarca,Vanessa Taylor,3.65,2
14,15,5,"""The Ghost of Harrenhal""",David Petrarca,David Benioff & D. B. Weiss,3.9,2
15,16,6,"""The Old Gods and the New""",David Nutter,Vanessa Taylor,3.88,2
16,17,7,"""A Man Without Honor""",David Nutter,David Benioff & D. B. Weiss,3.69,2
17,18,8,"""The Prince of Winterfell""",Alan Taylor,David Benioff & D. B. Weiss,3.86,2
18,19,9,"""Blackwater""",Neil Marshall,George R. R. Martin,3.38,2
19,20,10,"""Valar Morghulis""",Alan Taylor,David Benioff & D. B. Weiss,4.2,2
20,21,1,"""Valar Dohaeris""",Daniel Minahan,David Benioff & D. B. Weiss,4.37,3
21,22,2,"""Dark Wings, Dark Words""",Daniel Minahan,Vanessa Taylor,4.27,3
22,23,3,"""Walk of Punishment""",David Benioff,David Benioff & D. B. Weiss,4.72,3
23,24,4,"""And Now His Watch Is Ended""",Alex Graves,David Benioff & D. B. Weiss,4.87,3
24,25,5,"""Kissed by Fire""",Alex Graves,Bryan Cogman,5.35,3
25,26,6,"""The Climb""",Alik Sakharov,David Benioff & D. B. Weiss,5.5,3
26,27,7,"""The Bear and the Maiden Fair""",Michelle MacLaren,George R. R. Martin,4.84,3
27,28,8,"""Second Sons""",Michelle MacLaren,David Benioff & D. B. Weiss,5.13,3
28,29,9,"""The Rains of Castamere""",David Nutter,David Benioff & D. B. Weiss,5.22,3
29,30,10,"""Mhysa""",David Nutter,David Benioff & D. B. Weiss,5.39,3
30,31,1,"""Two Swords""",D. B. Weiss,David Benioff & D. B. Weiss,6.64,4
31,32,2,"""The Lion and the Rose""",Alex Graves,George R. R. Martin,6.31,4
32,33,3,"""Breaker of Chains""",Alex Graves,David Benioff & D. B. Weiss,6.59,4
33,34,4,"""Oathkeeper""",Michelle MacLaren,Bryan Cogman,6.95,4
34,35,5,"""First of His Name""",Michelle MacLaren,David Benioff & D. B. Weiss,7.16,4
35,36,6,"""The Laws of Gods and Men""",Alik Sakharov,Bryan Cogman,6.4,4
36,37,7,"""Mockingbird""",Alik Sakharov,David Benioff & D. B. Weiss,7.2,4
37,38,8,"""The Mountain and the Viper""",Alex Graves,David Benioff & D. B. Weiss,7.17,4
38,39,9,"""The Watchers on the Wall""",Neil Marshall,David Benioff & D. B. Weiss,6.95,4
39,40,10,"""The Children""",Alex Graves,David Benioff & D. B. Weiss,7.09,4
40,41,1,"""The Wars to Come""",Michael Slovis,David Benioff & D. B. Weiss,8.0,5
41,42,2,"""The House of Black and White""",Michael Slovis,David Benioff & D. B. Weiss,6.81,5
42,43,3,"""High Sparrow""",Mark Mylod,David Benioff & D. B. Weiss,6.71,5
43,44,4,"""Sons of the Harpy""",Mark Mylod,Dave Hill,6.82,5
44,45,5,"""Kill the Boy""",Jeremy Podeswa,Bryan Cogman,6.56,5
45,46,6,"""Unbowed, Unbent, Unbroken""",Jeremy Podeswa,Bryan Cogman,6.24,5
46,47,7,"""The Gift""",Miguel Sapochnik,David Benioff & D. B. Weiss,5.4,5
47,48,8,"""Hardhome""",Miguel Sapochnik,David Benioff & D. B. Weiss,7.01,5
48,49,9,"""The Dance of Dragons""",David Nutter,David Benioff & D. B. Weiss,7.14,5
49,50,10,"""Mother's Mercy""",David Nutter,David Benioff & D. B. Weiss,8.11,5
50,51,1,"""The Red Woman""",Jeremy Podeswa,David Benioff & D. B. Weiss,7.94,6
51,52,2,"""Home""",Jeremy Podeswa,Dave Hill,7.29,6
52,53,3,"""Oathbreaker""",Daniel Sackheim,David Benioff & D. B. Weiss,7.28,6
53,54,4,"""Book of the Stranger""",Daniel Sackheim,David Benioff & D. B. Weiss,7.82,6
54,55,5,"""The Door""",Jack Bender,David Benioff & D. B. Weiss,7.89,6
55,56,6,"""Blood of My Blood""",Jack Bender,Bryan Cogman,6.71,6
